age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,expectation,prediction
68.0,Self-emp-not-inc,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,Female,0.0,0.0,35.0,United-States,0.005785057678775705,<=50K
56.0,Private,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,2580.0,0.0,40.0,United-States,0.16170652577040828,<=50K
33.0,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,50.0,United-States,0.3106246074171108,<=50K
45.0,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,0.3756083438083826,<=50K
32.0,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,0.0751988962452806,<=50K
35.0,Private,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0.0,0.0,40.0,United-States,0.011456135598055982,<=50K
67.0,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.020623537654298644,<=50K
24.0,Private,12th,8,Never-married,Other-service,Other-relative,Other,Male,0.0,0.0,40.0,Dominican-Republic,0.000755224417388032,<=50K
42.0,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,50.0,United-States,0.2901357881455232,<=50K
24.0,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.003946644000570939,<=50K
57.0,Private,Some-college,10,Married-spouse-absent,Sales,Own-child,Asian-Pac-Islander,Female,0.0,0.0,90.0,United-States,0.048102586254850775,<=50K
29.0,Private,Some-college,10,Divorced,Protective-serv,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0.023340771429434456,<=50K
36.0,Private,Some-college,10,Separated,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0.05189542052266234,<=50K
17.0,Private,11th,7,Never-married,?,Own-child,White,Female,0.0,0.0,45.0,United-States,0.0014312702759491406,<=50K
38.0,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,China,0.7163817089179297,>50K
40.0,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1902.0,40.0,United-States,0.9435966225781217,>50K
38.0,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,32.0,United-States,0.2007195077934686,<=50K
39.0,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,0.48022551188953494,>50K
36.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1887.0,40.0,United-States,0.9621460061635675,>50K
73.0,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,25124.0,0.0,20.0,United-States,0.6436776629525306,>50K
66.0,Private,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0.0,0.0,40.0,United-States,0.16312746591276403,<=50K
35.0,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,0.5695069002295159,>50K
18.0,Private,HS-grad,9,Never-married,Sales,Own-child,Black,Female,0.0,0.0,40.0,United-States,0.002326631351173806,<=50K
30.0,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,0.31488267903036166,<=50K
40.0,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,40.0,Haiti,0.14337051710644225,<=50K
67.0,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,0.5809570246065183,>50K
49.0,Private,HS-grad,9,Divorced,Adm-clerical,Other-relative,White,Female,0.0,0.0,40.0,United-States,0.028622035220774226,<=50K
32.0,Private,11th,7,Married-civ-spouse,?,Wife,White,Female,0.0,0.0,15.0,United-States,0.07754017999125976,<=50K
48.0,Private,Some-college,10,Divorced,Sales,Unmarried,White,Female,0.0,0.0,55.0,United-States,0.08640445511289951,<=50K
26.0,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0.05144721653380259,<=50K
49.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,0.4501791461040605,>50K
50.0,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,55.0,United-States,0.837082663326827,>50K
60.0,Federal-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0.4073872605385582,>50K
29.0,Private,11th,7,Separated,Other-service,Own-child,Black,Female,0.0,0.0,40.0,United-States,0.0016648714025539455,<=50K
45.0,Self-emp-not-inc,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,0.2578242038452782,<=50K
47.0,Private,11th,7,Divorced,Sales,Unmarried,White,Female,0.0,0.0,28.0,United-States,0.005775705553129865,<=50K
75.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0.0,0.0,15.0,United-States,0.042112321902186146,<=50K
35.0,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024.0,0.0,35.0,United-States,0.9911075446092145,>50K
56.0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,50.0,United-States,0.4386648766325266,>50K
30.0,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,35.0,United-States,0.6414471751218261,>50K
23.0,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.008760719393809712,<=50K
40.0,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,2415.0,70.0,United-States,0.7733756361988962,>50K
38.0,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,Mexico,0.12196069062902143,<=50K
51.0,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0.0,0.0,40.0,United-States,0.6809383942371412,>50K
31.0,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,55.0,United-States,0.24234011679057763,<=50K
42.0,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,0.521301465538263,>50K
21.0,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0.0,0.0,25.0,United-States,0.0014096582302753071,<=50K
54.0,Local-gov,Some-college,10,Divorced,Exec-managerial,Other-relative,Black,Female,0.0,0.0,40.0,United-States,0.04563856849860178,<=50K
40.0,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,0.7163573413269432,>50K
45.0,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,0.400775591213806,>50K
